ts_code,name,symbol
000782.SZ,恒申新材,000782
000783.SZ,长江证券,000783
000785.SZ,居然智家,000785
000786.SZ,北新建材,000786
000788.SZ,北大医药,000788
000789.SZ,万年青,000789
000790.SZ,华神科技,000790
000791.SZ,甘肃能源,000791
000792.SZ,盐湖股份,000792
000793.SZ,*ST华闻,000793
000795.SZ,英洛华,000795
000796.SZ,凯撒旅业,000796
000797.SZ,中国武夷,000797
000798.SZ,中水渔业,000798
000799.SZ,酒鬼酒,000799
000800.SZ,一汽解放,000800
000801.SZ,四川九洲,000801
000802.SZ,北京文化,000802
000803.SZ,山高环能,000803
000807.SZ,云铝股份,000807
000809.SZ,和展能源,000809
000810.SZ,创维数字,000810
000811.SZ,冰轮环境,000811
000812.SZ,陕西金叶,000812
000813.SZ,德展健康,000813
000815.SZ,美利云,000815
000816.SZ,智慧农业,000816
000818.SZ,航锦科技,000818
000819.SZ,岳阳兴长,000819
000820.SZ,*ST节能,000820
000821.SZ,ST京机,000821
000822.SZ,山东海化,000822
000823.SZ,超声电子,000823
000825.SZ,太钢不锈,000825
000826.SZ,启迪环境,000826
000828.SZ,东莞控股,000828
000829.SZ,天音控股,000829
000830.SZ,鲁西化工,000830
000831.SZ,中国稀土,000831
000833.SZ,粤桂股份,000833
000837.SZ,秦川机床,000837
000838.SZ,财信发展,000838
000839.SZ,国安股份,000839
000848.SZ,承德露露,000848
000850.SZ,华茂股份,000850
000852.SZ,石化机械,000852
000856.SZ,冀东装备,000856
000858.SZ,五粮液,000858
000859.SZ,国风新材,000859
000860.SZ,顺鑫农业,000860
000862.SZ,银星能源,000862
000863.SZ,三湘印象,000863
000868.SZ,安凯客车,000868
000869.SZ,张裕Ａ,000869
000875.SZ,电投绿能,000875
000876.SZ,新希望,000876
000877.SZ,天山股份,000877
000878.SZ,云南铜业,000878
000880.SZ,潍柴重机,000880
000881.SZ,中广核技,000881
000882.SZ,华联股份,000882
000883.SZ,湖北能源,000883
000885.SZ,城发环境,000885
000886.SZ,海南高速,000886
000887.SZ,中鼎股份,000887
000888.SZ,峨眉山Ａ,000888
000889.SZ,中嘉博创,000889
000890.SZ,法尔胜,000890
000892.SZ,欢瑞世纪,000892
000893.SZ,亚钾国际,000893
000895.SZ,双汇发展,000895
001896.SZ,豫能控股,001896
000897.SZ,津滨发展,000897
000898.SZ,鞍钢股份,000898
000899.SZ,赣能股份,000899
000900.SZ,现代投资,000900
000901.SZ,航天科技,000901
000902.SZ,新洋丰,000902
000903.SZ,ST云动,000903
000905.SZ,厦门港务,000905
000906.SZ,浙商中拓,000906
000908.SZ,ST景峰,000908
000909.SZ,ST数源,000909
000910.SZ,大亚圣象,000910
